Period (s),0.01,0.1,0.2,0.5,1,2,5,7.5,10
0.01,0.47,0.4,0.43,0.35,0.27,0.15,0.13,0.09,0.12
0.1,0.4,0.42,0.37,0.25,0.15,0.03,0.04,0,0.03
0.2,0.43,0.37,0.45,0.36,0.26,0.15,0.09,0.05,0.08
0.5,0.35,0.25,0.36,0.42,0.37,0.29,0.2,0.16,0.16
1,0.27,0.15,0.26,0.37,0.48,0.41,0.26,0.21,0.21
2,0.15,0.03,0.15,0.29,0.41,0.55,0.37,0.33,0.32
5,0.13,0.04,0.09,0.2,0.26,0.37,0.51,0.49,0.49
7.5,0.09,0,0.05,0.16,0.21,0.33,0.49,0.62,0.6
10,0.12,0.03,0.08,0.16,0.21,0.32,0.49,0.6,0.68
