Station Name,Latitude,Longitude
A00165,46.92918502,-123.1040381
A00166,46.9291962,-123.090902
A00167,46.92920588,-123.0777659
A00168,46.92921405,-123.0646298
A00169,46.92922071,-123.0514936
A00170,46.92922586,-123.0383575
A00171,46.92922951,-123.0252214
A00172,46.92923165,-123.0120852
A00173,46.92923228,-122.9989491
A00174,46.92923141,-122.985813
A00175,46.92922903,-122.9726768
A00176,46.92922514,-122.9595407
A00177,46.92921974,-122.9464046
A00178,46.92921284,-122.9332685
A00179,46.92920443,-122.9201323
A00180,46.92919451,-122.9069962
A00181,46.92918309,-122.8938601
A00182,46.92917016,-122.880724
A00183,46.92915572,-122.867588
A00184,46.92913977,-122.8544519
A00185,46.92912232,-122.8413158
A00186,46.92910336,-122.8281798
A00187,46.92908289,-122.8150437
A00188,46.92906092,-122.8019077
A00189,46.92903744,-122.7887717
A00190,46.92901245,-122.7756357
A00191,46.92898596,-122.7624997
A00192,46.92895795,-122.7493638
A00193,46.92892844,-122.7362279
A00194,46.92889743,-122.723092
A00195,46.9288649,-122.7099561
A00196,46.92883087,-122.6968202
A00197,46.92879533,-122.6836844
A00198,46.92875829,-122.6705486
A00199,46.92871973,-122.6574128
A00200,46.92867968,-122.644277
A00201,46.92863811,-122.6311413
A00202,46.92859504,-122.6180056
A00203,46.92855045,-122.6048699
A00204,46.92850437,-122.5917343
A00205,46.92845677,-122.5785987
A00206,46.92840767,-122.5654631
A00207,46.92835706,-122.5523275
A00208,46.92830495,-122.539192
A00209,46.92825132,-122.5260566
A00210,46.9281962,-122.5129212
A00211,46.92813956,-122.4997858
A00212,46.92808142,-122.4866504
A00213,46.92802177,-122.4735151
A00214,46.92796061,-122.4603799
A00215,46.92789794,-122.4472446
A00216,46.92783377,-122.4341095
A00217,46.9277681,-122.4209743
A00218,46.92770091,-122.4078393
A00219,46.92763222,-122.3947042
A00220,46.92756202,-122.3815692
A00221,46.92749032,-122.3684343
A00222,46.9274171,-122.3552994
A00223,46.92734238,-122.3421646
A00224,46.92726616,-122.3290298
A00225,46.92718843,-122.3158951
A00226,46.92710919,-122.3027604
A00227,46.92702844,-122.2896258
