,Longitude,Latitude,Vs30 (m/s),Depth (m),DepthToRock (m)
131,28.8119,40.9743,379.0,0.0,268.1
132,28.8149,40.9743,347.0,0.0,263.9
133,28.8178,40.9744,403.5,0.0,258.7
134,28.8208,40.9744,398.8,0.0,250.6
135,28.8238,40.9744,359.0,0.0,242.4
136,28.8268,40.9745,394.6,0.0,238.0
137,28.8297,40.9745,379.4,0.0,231.4
138,28.8327,40.9745,365.2,0.0,225.3
139,28.8357,40.9746,391.4,0.0,218.6
140,28.8386,40.9746,352.9,0.0,209.8
141,28.8416,40.9746,345.3,0.0,203.2
142,28.8446,40.9746,323.3,0.0,207.5
143,28.8475,40.9747,250.0,0.0,211.7
144,28.8683,40.9749,380.6,0.0,264.9
145,28.8713,40.9749,362.7,0.0,278.2
146,28.8743,40.9749,359.2,0.0,281.1
147,28.8772,40.9750,329.2,0.0,279.4
148,28.6753,40.9751,325.2,0.0,269.7
149,28.6782,40.9751,299.2,0.0,271.2
150,28.6812,40.9751,279.0,0.0,263.5
151,28.6842,40.9752,307.9,0.0,274.0
152,28.6871,40.9752,317.7,0.0,269.7
153,28.6901,40.9752,301.7,0.0,251.4
154,28.6931,40.9753,261.3,0.0,241.3
155,28.6961,40.9753,314.6,0.0,234.7
156,28.7050,40.9754,279.4,0.0,244.0
157,28.7079,40.9754,263.4,0.0,255.1
158,28.7109,40.9755,273.0,0.0,264.9
159,28.7139,40.9755,255.4,0.0,274.4
160,28.7168,40.9755,251.0,0.0,285.7
161,28.7198,40.9756,273.3,0.0,304.7
162,28.7228,40.9756,273.0,0.0,320.5
163,28.7258,40.9756,336.1,0.0,339.4
164,28.7287,40.9757,276.3,0.0,358.1
165,28.7317,40.9757,279.8,0.0,371.6
166,28.7347,40.9757,295.1,0.0,384.9
167,28.7376,40.9758,319.4,0.0,385.4
168,28.7406,40.9758,319.2,0.0,375.1
169,28.7436,40.9758,260.4,0.0,346.8
170,28.7822,40.9762,312.9,0.0,320.9
171,28.7851,40.9763,319.3,0.0,323.9
172,28.7881,40.9763,298.9,0.0,329.7
173,28.7911,40.9763,315.5,0.0,307.7
174,28.7941,40.9764,325.4,0.0,312.8
175,28.7970,40.9764,337.1,0.0,305.5
176,28.8000,40.9764,304.9,0.0,299.4
177,28.8030,40.9765,395.3,0.0,293.1
178,28.8059,40.9765,415.2,0.0,282.5
179,28.8089,40.9765,360.0,0.0,270.7
180,28.8119,40.9766,384.4,0.0,262.0
181,28.8148,40.9766,385.3,0.0,256.6
182,28.8178,40.9766,416.3,0.0,249.5
183,28.8208,40.9766,410.6,0.0,241.1
184,28.8237,40.9767,367.8,0.0,231.1
185,28.8267,40.9767,402.3,0.0,225.8
186,28.8297,40.9767,395.0,0.0,214.0
187,28.8327,40.9768,358.9,0.0,207.2
188,28.8356,40.9768,342.3,0.0,200.4
189,28.8386,40.9768,392.2,0.0,190.4
190,28.8416,40.9769,370.3,0.0,187.2
191,28.8445,40.9769,257.2,0.0,194.8
192,28.8475,40.9769,250.0,0.0,200.6
193,28.8505,40.9770,348.9,0.0,206.4
194,28.8534,40.9770,326.4,0.0,207.4
195,28.8564,40.9770,392.0,0.0,212.4
196,28.8594,40.9770,293.6,0.0,219.5
197,28.8624,40.9771,343.7,0.0,229.6
198,28.8653,40.9771,349.9,0.0,239.3
199,28.8683,40.9771,368.4,0.0,254.0
200,28.8713,40.9772,356.0,0.0,267.8
201,28.8742,40.9772,369.3,0.0,271.0
202,28.8772,40.9772,363.8,0.0,268.0
203,28.8802,40.9772,312.1,0.0,266.3
204,28.6752,40.9773,321.4,0.0,295.1
205,28.6782,40.9774,282.1,0.0,291.5
206,28.6812,40.9774,280.3,0.0,288.6
207,28.6841,40.9774,278.5,0.0,284.1
208,28.6871,40.9775,300.0,0.0,274.4
209,28.6901,40.9775,284.2,0.0,243.5
210,28.6930,40.9775,255.2,0.0,233.4
211,28.6960,40.9776,257.4,0.0,232.0
212,28.6990,40.9776,265.9,0.0,233.1
213,28.7019,40.9776,257.4,0.0,251.9
214,28.7049,40.9777,268.1,0.0,266.4
215,28.7079,40.9777,253.3,0.0,268.1
216,28.7109,40.9777,281.3,0.0,286.2
217,28.7138,40.9778,267.1,0.0,272.3
218,28.7168,40.9778,275.6,0.0,292.1
219,28.7198,40.9778,275.4,0.0,304.0
220,28.7227,40.9779,294.0,0.0,317.1
221,28.7257,40.9779,288.7,0.0,342.5
222,28.7287,40.9779,300.9,0.0,362.8
223,28.7316,40.9780,286.6,0.0,374.3
224,28.7346,40.9780,282.2,0.0,386.9
225,28.7376,40.9780,302.7,0.0,384.0
226,28.7406,40.9781,269.3,0.0,374.8
227,28.7435,40.9781,285.2,0.0,358.0
228,28.7465,40.9781,294.1,0.0,326.3
229,28.7762,40.9784,310.2,0.0,300.4
230,28.7792,40.9785,324.3,0.0,330.5
231,28.7821,40.9785,296.0,0.0,324.9
232,28.7851,40.9785,339.8,0.0,335.8
233,28.7881,40.9786,330.1,0.0,332.4
234,28.7910,40.9786,342.9,0.0,310.0
235,28.7940,40.9786,345.3,0.0,301.0
236,28.7970,40.9787,355.8,0.0,304.2
237,28.7999,40.9787,374.7,0.0,292.1
238,28.8029,40.9787,360.0,0.0,284.2
239,28.8059,40.9787,373.8,0.0,270.0
240,28.8089,40.9788,389.9,0.0,262.5
241,28.8118,40.9788,413.4,0.0,254.2
242,28.8148,40.9788,343.4,0.0,246.3
